,mean_acc,std_acc
binned_uniform_from_0_to_0,0.7768199920654297,0.004716087149660768
binned_uniform_from_0_to_6,0.7298200011253357,0.01847651057226758
binned_uniform_from_0_to_12,0.6982999920845032,0.019750937569984087
binned_uniform_from_0_to_18,0.664900004863739,0.014086716814593996
binned_uniform_from_0_to_25,0.6016199946403503,0.051258462074705295
binned_uniform_from_0_to_31,0.5961800038814544,0.05596733432420044
binned_uniform_from_0_to_37,0.5420400023460388,0.036941880467825525
binned_uniform_from_0_to_43,0.43109999895095824,0.07550896586206259
binned_uniform_from_0_to_50,0.4109599947929382,0.09447172246409406
binned_uniform_from_0_to_56,0.3552599996328354,0.08422524359900634
binned_uniform_from_0_to_62,0.2754800021648407,0.0617099822915113
binned_uniform_from_0_to_68,0.1859000027179718,0.030575808055661555
binned_uniform_from_0_to_75,0.14014000296592713,0.02239907422476409
binned_uniform_from_0_to_81,0.11537999957799912,0.0014715976508543902
binned_uniform_from_0_to_87,0.11495999991893768,0.002870262219748357
binned_uniform_from_0_to_93,0.11351999938488007,4.000067710876465e-05
binned_uniform_from_0_to_100,0.11349999904632568,0.0
